mode,fold_id,model,n_train,n_test,fit_predict_seconds,balanced_accuracy,accuracy,macro_f1,cohen_kappa
within_session,within_s8_0train_run3,CSP+linearSVM,110,22,0.1405432000028668,0.9545454545454546,0.9545454545454546,0.9544513457556936,0.9090909090909091
within_session,within_s8_0train_run4,CSP+LDA,109,23,0.12588539998978376,0.9166666666666667,0.9130434782608695,0.9128787878787878,0.8270676691729324
within_session,within_s8_0train_run4,CSP+linearSVM,109,23,0.12849059999280144,0.875,0.8695652173913043,0.8685714285714285,0.7415730337078652
within_session,within_s8_0train_run5,CSP+LDA,109,23,0.12697930001013447,0.9583333333333333,0.9565217391304348,0.9565217391304348,0.9132075471698113
within_session,within_s8_0train_run5,CSP+linearSVM,109,23,0.1306217000092147,0.9166666666666667,0.9130434782608695,0.9128787878787878,0.8270676691729324
within_session,within_s8_1test_run0,CSP+LDA,111,23,0.12742269999580458,1.0,1.0,1.0,1.0
within_session,within_s8_1test_run0,CSP+linearSVM,111,23,0.13320549999480136,1.0,1.0,1.0,1.0
within_session,within_s8_1test_run1,CSP+LDA,111,23,0.1273304000060307,0.8712121212121212,0.8695652173913043,0.8695652173913043,0.739622641509434
within_session,within_s8_1test_run1,CSP+linearSVM,111,23,0.12447120000433642,0.9545454545454546,0.9565217391304348,0.9561904761904761,0.9125475285171103
within_session,within_s8_1test_run2,CSP+LDA,110,24,0.13101679999090265,1.0,1.0,1.0,1.0
within_session,within_s8_1test_run2,CSP+linearSVM,110,24,0.11653149999619927,1.0,1.0,1.0,1.0
within_session,within_s8_1test_run3,CSP+LDA,112,22,0.1278454999992391,0.95,0.9545454545454546,0.9536842105263157,0.907563025210084
within_session,within_s8_1test_run3,CSP+linearSVM,112,22,0.12304809999477584,0.95,0.9545454545454546,0.9536842105263157,0.907563025210084
within_session,within_s8_1test_run4,CSP+LDA,111,23,0.12375829998927657,0.9583333333333333,0.9565217391304348,0.9565217391304348,0.9132075471698113
within_session,within_s8_1test_run4,CSP+linearSVM,111,23,0.13133420000667684,1.0,1.0,1.0,1.0
within_session,within_s8_1test_run5,CSP+LDA,115,19,0.12896220000402536,1.0,1.0,1.0,1.0
within_session,within_s8_1test_run5,CSP+linearSVM,115,19,0.13560270000016317,1.0,1.0,1.0,1.0
within_session,within_s9_0train_run0,CSP+LDA,96,20,0.10616540000773966,0.7291666666666667,0.7,0.7,0.42307692307692313
within_session,within_s9_0train_run0,CSP+linearSVM,96,20,0.10588279999501538,0.7291666666666667,0.7,0.7,0.42307692307692313
within_session,within_s9_0train_run1,CSP+LDA,97,19,0.11009419999027159,0.7777777777777778,0.7894736842105263,0.7738095238095238,0.5681818181818181
within_session,within_s9_0train_run1,CSP+linearSVM,97,19,0.10954389999096747,0.7833333333333333,0.7894736842105263,0.7840909090909092,0.5730337078651686
within_session,within_s9_0train_run2,CSP+LDA,98,18,0.11557259999972302,0.7875,0.7777777777777778,0.7777777777777778,0.5609756097560976
within_session,within_s9_0train_run2,CSP+linearSVM,98,18,0.10669959998631384,0.7875,0.7777777777777778,0.7777777777777778,0.5609756097560976
within_session,within_s9_0train_run3,CSP+LDA,94,22,0.10593150000204332,0.85,0.8636363636363636,0.8562091503267973,0.717948717948718
within_session,within_s9_0train_run3,CSP+linearSVM,94,22,0.10709569999016821,0.95,0.9545454545454546,0.9536842105263157,0.907563025210084
within_session,within_s9_0train_run4,CSP+LDA,99,17,0.11299500000313856,0.7571428571428571,0.7647058823529411,0.7571428571428571,0.5142857142857142
within_session,within_s9_0train_run4,CSP+linearSVM,99,17,0.11834960000123829,0.7571428571428571,0.7647058823529411,0.7571428571428571,0.5142857142857142
