fold,subject,stage,inner_fold,seed,selected_epochs,selection_rule,epoch,train_ce,val_ce
loso_s8,8,full,,20260925,23,mean_rank,4,1.2505970779392457,
loso_s8,8,full,,20260925,23,mean_rank,5,1.217336936129464,
loso_s8,8,full,,20260925,23,mean_rank,6,1.2042473256587982,
loso_s8,8,full,,20260925,23,mean_rank,7,1.1836101710796356,
loso_s8,8,full,,20260925,23,mean_rank,8,1.1696565002202988,
loso_s8,8,full,,20260925,23,mean_rank,9,1.147208622760243,
loso_s8,8,full,,20260925,23,mean_rank,10,1.1468165268500643,
loso_s8,8,full,,20260925,23,mean_rank,11,1.129691559407446,
loso_s8,8,full,,20260925,23,mean_rank,12,1.1264552308453455,
loso_s8,8,full,,20260925,23,mean_rank,13,1.1350015451510749,
loso_s8,8,full,,20260925,23,mean_rank,14,1.1148129006226857,
loso_s8,8,full,,20260925,23,mean_rank,15,1.0973946005105972,
loso_s8,8,full,,20260925,23,mean_rank,16,1.1009520557191637,
loso_s8,8,full,,20260925,23,mean_rank,17,1.0742130519615278,
loso_s8,8,full,,20260925,23,mean_rank,18,1.081806974278556,
loso_s8,8,full,,20260925,23,mean_rank,19,1.0578025521503551,
loso_s8,8,full,,20260925,23,mean_rank,20,1.0551235891050763,
loso_s8,8,full,,20260925,23,mean_rank,21,1.0470686935716205,
loso_s8,8,full,,20260925,23,mean_rank,22,1.0459453794691298,
loso_s8,8,full,,20260925,23,mean_rank,23,1.043514423072338,
loso_s8,8,full,,20260926,23,mean_rank,1,1.3816284371746912,
loso_s8,8,full,,20260926,23,mean_rank,2,1.338835005958875,
loso_s8,8,full,,20260926,23,mean_rank,3,1.272650928960906,
loso_s8,8,full,,20260926,23,mean_rank,4,1.2301642811960645,
loso_s8,8,full,,20260926,23,mean_rank,5,1.2141554918554094,
loso_s8,8,full,,20260926,23,mean_rank,6,1.185565451780955,
loso_s8,8,full,,20260926,23,mean_rank,7,1.1662779814667172,
loso_s8,8,full,,20260926,23,mean_rank,8,1.1578630705674489,
loso_s8,8,full,,20260926,23,mean_rank,9,1.133806658287843,
loso_s8,8,full,,20260926,23,mean_rank,10,1.129293527040217,
loso_s8,8,full,,20260926,23,mean_rank,11,1.1221619149049122,
loso_s8,8,full,,20260926,23,mean_rank,12,1.097366454700629,
loso_s8,8,full,,20260926,23,mean_rank,13,1.096494748360581,
loso_s8,8,full,,20260926,23,mean_rank,14,1.092924263742235,
loso_s8,8,full,,20260926,23,mean_rank,15,1.0815274864435196,
loso_s8,8,full,,20260926,23,mean_rank,16,1.0690421967042818,
loso_s8,8,full,,20260926,23,mean_rank,17,1.060022863248984,
loso_s8,8,full,,20260926,23,mean_rank,18,1.0545440018177032,
loso_s8,8,full,,20260926,23,mean_rank,19,1.045786241690318,
loso_s8,8,full,,20260926,23,mean_rank,20,1.0537273097369406,
loso_s8,8,full,,20260926,23,mean_rank,21,1.0336922191911273,
loso_s8,8,full,,20260926,23,mean_rank,22,1.0366619519061513,
